Zucchini Lasagna Diet Frozen Meal,99,3.19,5.36,12.76,2.71,1.3,9,1.686
Macaroni And Cheese Diet Frozen Meal,130,3.96,5.98,17.2,1.64,0.8,11,2.085
Beef And Noodles With Meat Sauce And Cheese Diet Frozen Meal,133,4.77,9.22,13.25,1.91,1.2,21,2.098
Noodles With Vegetables In Tomato-Based Sauce Diet Frozen Meal,66,1.56,3.28,10.63,2.4,1.7,3,0.655
Rice With Broccoli Cheese Sauce Frozen Side Dish,119,4.13,3.65,17.07,0.84,1.5,6,1.463
Rice With Green Beans Water Chestnuts In Sherry Mushroom Sauce Frozen Side Dish,97,3.23,2.62,14.65,2.5,1.3,2,0.86
Spaghetti And Meatballs Dinner NFS Frozen Meal,112,3.32,5.53,14.83,2.66,1.2,9,0.994
Spaghetti And Meatballs With Tomato Sauce Sliced Apples Bread Frozen Meal,130,3.72,7.69,16.36,2.98,1.7,15,1.282
Spaghetti With Meat And Mushroom Sauce Diet Frozen Meal,115,2.8,6.09,16.5,2.64,1.4,10,0.871
Spaghetti With Meat Sauce Diet Frozen Meal,112,3.32,5.53,14.83,2.66,1.2,9,0.994
Ravioli Cheese-Filled With Tomato Sauce Diet Frozen Meal,112,4.13,6.89,12.16,2.41,1,13,2.216
Rigatoni With Meat Sauce And Cheese Diet Frozen Meal,91,3.71,6.19,8.66,2.59,1.1,13,1.428
Manicotti Cheese-Filled With Tomato Sauce Diet Frozen Meal,123,5.56,7.16,11.14,2.42,0.7,19,2.712
Cannelloni Cheese-Filled With Tomato Sauce Diet Frozen Meal,115,4.8,7.05,10.85,1.19,0.7,16,2.629
Linguini With Vegetables And Seafood In White Wine Sauce Diet Frozen Meal,114,3.76,8.04,11.87,1.27,1.1,21,2.216
Pasta With Vegetable And Cheese Sauce Diet Frozen Meal,108,2.81,4.71,16.48,0.95,1.5,20,1.098
Beef Enchilada Dinner NFS Frozen Meal,124,4.12,5.03,16.68,0.44,2.1,7,1.24
Beef Enchilada Chili Gravy Rice Refried Beans Frozen Meal,124,4.12,5.03,16.68,0.44,2.1,7,1.24
Cheese Enchilada Frozen Meal,189,8.46,8.28,20.68,5.12,3.4,19,4.147
Chicken Enchilada Diet Frozen Meal,146,6.32,10.62,11.97,2.2,1.2,31,3.17
Chicken Fajitas Diet Frozen Meal,123,2.61,8.93,15.67,1.99,1.5,19,0.672
Chicken Burritos Diet Frozen Meal,176,4.62,9.6,23.76,2.42,2,16,1.458
Sausage And French Toast Frozen Meal,223,11.22,11.53,18.83,5.9,0.8,123,3.44
Pancakes And Sausage Frozen Meal,270,13.7,8.86,27.72,9.61,0.6,50,3.554
Soup Nfs,24,0.78,1.2,3.07,0,0.5,4,0.197
Noodle Soup Nfs,67,2.68,1.55,9.17,0.3,0.4,0,1.235
Rice Soup Nfs,34,0.78,0.92,5.8,0.12,0.5,2,0.186
Barley Soup Sweet With Or Without Nuts Asian Style,61,1.55,1.01,11.57,8.94,0.8,0,0.159
Beef Noodle Soup Canned Or Ready-To-Serve,34,1.25,1.95,3.63,1.04,0.3,2,0.462
Beef Noodle Soup Home Recipe,70,2.36,7.17,4.6,0.57,0.4,20,0.696
Chicken Or Turkey Noodle Soup Canned Or Ready-To-Serve,24,0.78,1.2,3.07,0,0.5,4,0.197
Chicken Or Turkey Noodle Soup Home Recipe,61,2.2,5.56,4.93,0.93,0.4,23,0.429
Chicken Or Turkey Noodle Soup Cream Of Home Recipe Canned Or Ready-To-Serve,49,1.8,2.82,5.46,2.55,0.4,8,0.812
Noodle And Potato Soup Puerto Rican Style,29,0.12,0.86,6.48,1.17,0.8,1,0.034
Chicken Or Turkey Rice Soup Canned Or Ready-To-Serve,34,0.78,0.92,5.8,0.12,0.5,2,0.186
Chicken Or Turkey Rice Soup Home Recipe,62,2.01,5.22,5.66,0.84,0.3,19,0.379
Chicken Or Turkey Rice Soup Reduced Sodium Canned Prepared With Water Or Ready-To-Serve,23,0.6,0.8,3.61,0.4,0.4,2,0.199
Chicken Or Turkey Rice Soup Reduced Sodium Canned Prepared With Milk,48,1.62,2.44,6.01,2.96,0.4,6,0.82
Rice And Potato Soup Puerto Rican Style,75,2.05,1.39,12.62,0.36,0.5,1,0.436
Matzo Ball Soup,60,2.03,2.61,7.74,0.91,0.5,36,0.437
Instant Soup Noodle,25,0.44,1.03,4.17,0.13,0.2,5,0.132
Soup Mostly Noodles,67,2.68,1.55,9.17,0.3,0.4,0,1.235
Soup Mostly Noodles Reduced Sodium,53,0.38,1.66,10.79,0.13,0.4,0,0
Instant Soup Noodle With Egg Shrimp Or Chicken,67,2.68,1.55,9.17,0.3,0.4,0,1.235
Noodle Soup With Vegetables Asian Style,71,1.2,1.91,13.16,1.04,1.2,1,0.206
Noodle Soup With Fish Ball Shrimp And Dark Green Leafy Vegetable,74,1.58,4.44,10.23,0.25,0.7,19,0.28
Sopa Seca Mexican Style Nfs,140,6.36,2.66,18.26,2.02,1.1,8,2.246
Sopa Seca De Fideo Mexican Style Made With Dry Noodles Home Recipe,138,6.83,3.12,16.59,2.24,1.3,8,2.396
Sopa De Fideo Aguada Mexican Style Noodle Soup Home Recipe,80,3.46,3.3,8.76,2.16,0.4,3,0.622
Sopa Seca De Arroz Home Recipe Mexican Style,149,6.36,2.32,20.79,1.7,1,8,2.265
Sopa De Tortilla Mexican Style Tortilla Soup Home Recipe,117,7.62,4.85,7.49,2.11,0.6,12,2.754
Macaroni Tomatoes And Beef Baby Food Ns As To Strained Or Junior,60,1.28,2.43,9.43,2.26,1.2,6,0.448
Macaroni With Beef And Tomato Sauce Baby Food Toddler,81,1.9,4.34,11.53,0.37,1.1,7,0.705
Macaroni And Cheese Baby Food Strained,64,2.06,2.87,8.57,1.3,0.5,6,1.233
Meat Substitute Cereal- And Vegetable Protein-Based Fried,334,7.04,11.28,61.87,0.5,9,0,1.035
Grapefruit And Orange Sections Raw,40,0.11,0.78,9.91,8.16,1.8,0,0.014
Grapefruit And Orange Sections Cooked Canned Or Frozen Ns As To Added Sweetener,60,0.09,0.59,15.35,14.35,1,0,0.012
Grapefruit And Orange Sections Cooked Canned Or Frozen Unsweetened Water Pack,27,0.07,0.53,6.68,5.51,1.2,0,0.01
Grapefruit And Orange Sections Cooked Canned Or Frozen In Light Syrup,60,0.09,0.59,15.35,14.35,1,0,0.012
Kumquat Cooked Or Canned In Syrup,98,0.58,1.26,23.65,19.24,4.4,0,0.069
Lemon Pie Filling,345,6.56,4.72,69.01,62.22,0.4,115,1.643
Orange Sections Canned Juice Pack,47,0.13,0.85,11.5,9.15,1.7,0,0.016
Grapefruit Juice 100% Ns As To Form,34,0.1,0.58,7.93,7.2,0.8,0,0.009
Grapefruit Juice 100% Canned Bottled Or In A Carton,34,0.1,0.58,7.93,7.2,0.8,0,0.009
Grapefruit Juice 100% With Calcium Added,38,0.1,0.5,8.69,8.33,0,0,0.014
Grapefruit Juice100% Frozen Reconstituted,41,0.13,0.55,9.66,9.55,0.1,0,0.018
Orange Juice 100% Nfs,48,0.12,0.68,11.45,8.31,0.3,0,0.014
Orange Juice 100% Frozen Reconstituted,42,0.07,0.68,10.04,8.47,0.3,0,0.017
Orange Juice 100% With Calcium Added Frozen Reconstituted,42,0.07,0.68,9.67,8.48,0.3,0,0.017
Apple Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,92,0.06,0.2,24.39,22.59,1.8,0,0.011
Apple Dried Cooked With Sugar,92,0.06,0.2,24.39,22.59,1.8,0,0.011
Apple Chips,460,21.66,1.04,73.7,63.93,9.8,0,1.636
Apricot Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,117,0.16,1.07,30.49,28.17,2.3,0,0.005
Apricot Dried Cooked With Sugar,117,0.16,1.07,30.49,28.17,2.3,0,0.005
Fig Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,137,0.36,1.27,35.33,31.54,3.8,0,0.055
Fig Dried Cooked With Sugar,137,0.36,1.27,35.33,31.54,3.8,0,0.055
Papaya Dried,296,0.86,1.55,75.46,65.46,5.6,0,0.268
Peach Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,110,0.22,1.04,28.29,25.86,2.4,0,0.023
Peach Dried Cooked With Sugar,110,0.22,1.04,28.29,25.86,2.4,0,0.023
Pear Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,155,0.28,0.81,40.9,35.17,5.7,0,0.015
Pear Dried Cooked With Sugar,155,0.28,0.81,40.9,35.17,5.7,0,0.015
Pineapple Dried,269,0.34,1.51,70.08,60.9,3.9,0,0.025
Prune Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,137,0.14,0.86,35.78,33,2.8,0,0.009
Prune Dried Cooked With Sugar,137,0.14,0.86,35.78,33,2.8,0,0.009
Raisins Cooked,219,0.21,1.43,57.38,48.04,1.7,0,0.027
Fruit Ns As To Type,69,0.22,0.76,17.76,11.73,2.3,0,0.064
Apple Baked Ns As To Added Sweetener,95,0.16,0.25,24.79,21.49,2.3,0,0.027
Apple Baked Unsweetened,56,0.18,0.28,14.85,11.17,2.6,0,0.03
Apple Baked With Sugar,95,0.16,0.25,24.79,21.49,2.3,0,0.027
Apple Rings Fried,119,5.33,0.27,19.35,15.8,2.4,0,0.998
Apple Pickled,126,0.12,0.18,32.1,29.64,1.6,0,0.019
Apple Fried,138,5.37,0.28,24.06,20.84,2.2,9,2.584
Banana Red Fried,147,6.41,1.14,23.99,12.85,2.7,0,0.947
Banana Baked,127,0.38,1.22,32.55,20.49,2.9,0,0.126
Banana Ripe Fried,147,6.41,1.14,23.99,12.85,2.7,0,0.947
Banana Batter-Dipped Fried,308,15.18,4.85,39.36,13.73,2.2,47,2.353
Starfruit Cooked With Sugar,69,0.3,0.93,16.72,14.25,2.5,0,0.017
Cherry Pie Filling,120,0.85,0.6,28.66,24.96,0.9,0,0.163
Guava Shell Canned In Heavy Syrup,109,0.68,1.81,25.83,21.97,3.8,0,0.193
Lychee Cooked Or Canned In Sugar Or Syrup,95,0.3,0.56,24.07,23.18,0.9,0,0.066
Mango Pickled,132,0.26,0.56,32.9,31.87,1.1,0,0.063
Mango Cooked,60,0.38,0.82,14.98,13.66,1.6,0,0.092
Nectarine Cooked,85,0.3,1,21.19,18.67,1.6,0,0.023
Papaya Green Cooked,43,0.26,0.47,10.82,7.82,1.7,0,0.081
Papaya Cooked Or Canned In Sugar Or Syrup,79,0.17,0.32,20.25,18.21,1.1,0,0.054
Peach Pickled,118,0.17,0.62,29.2,28.28,1,0,0.013
Plum Pickled,123,0.19,0.48,30.8,29.64,1,0,0.012
Rhubarb Cooked Or Canned Unsweetened,21,0.2,0.9,4.54,1.1,1.8,0,0.053
Rhubarb Cooked Or Canned In Light Syrup,60,0.1,0.49,15.27,11.68,1.6,0,0.026
Rhubarb Cooked Or Canned Drained Solids,116,0.05,0.39,31.2,28.7,2,0,0.014
Blackberries Frozen Sweetened Ns As To Type Of Sweetener,99,0.38,1.05,24.7,20.22,4.5,0,0.013
Blueberries Cooked Or Canned Unsweetened Water Pack,38,0.22,0.5,9.71,6.67,1.6,0,0.019
Raspberries Cooked Or Canned Unsweetened Water Pack,35,0.44,0.8,8,2.96,4.4,0,0.013
Raspberries Frozen Unsweetened,52,0.65,1.2,11.94,4.42,6.5,0,0.019
Strawberries Raw With Sugar,50,0.28,0.64,12.3,9.64,1.9,0,0.014
Strawberries Cooked Or Canned Unsweetened Water Pack,21,0.2,0.45,5.15,3.28,1.3,0,0.01
Ambrosia,70,0.96,0.9,16.16,11.62,2.3,0,0.748
Cranberry-Orange Relish Uncooked,131,0.1,0.45,33.74,29.06,2.4,0,0.008
Cranberry-Raspberry Sauce,162,0.22,0.78,41.83,35.06,2,0,0.008
Fruit Salad Fresh Or Raw  Excluding Citrus Fruits No Dressing,53,0.26,0.7,13.53,9.59,1.7,0,0.057
Fruit Salad Fresh Or Raw Including Citrus Fruits No Dressing,52,0.23,0.75,13.16,9.54,1.9,0,0.048
Fruit Cocktail Or Mix Frozen,49,0.3,0.98,11.99,9.18,2.5,0,0.036
Fruit Salad Puerto Rican Style,58,0.21,0.7,14.73,10.84,1.5,0,0.05
Apple Salad With Dressing,172,13.92,1.48,12.15,8.89,2.1,5,1.906
Apple Candied,129,2.02,1.27,28.59,23.28,1.8,2,0.6
Banana Whip,136,0.3,4.93,30.26,23,1.7,0,0.076
Prune Whip,147,0.19,4.66,33.76,31.35,2.1,0,0.009
Fried Dwarf Banana Puerto Rican Style,155,8.53,1,20.96,11.22,2.4,0,1.228
Fried Dwarf Banana With Cheese Puerto Rican Style,210,12.37,3.54,23.97,12.9,2.7,9,3.085
Fruit Salad Excluding Citrus Fruits With Salad Dressing Or Mayonnaise,235,20.32,1.89,13.27,8.79,1.9,8,2.865
Fruit Salad Excluding Citrus Fruits With Whipped Cream,150,10.29,2.21,14.79,9.89,2.1,13,3.327
Fruit Salad Excluding Citrus Fruits With Nondairy Whipped Topping,139,8.26,2.06,16.93,11.78,2.2,0,2.319
Fruit Salad Excluding Citrus Fruits With Marshmallows,239,19.14,1.89,17.26,11.65,1.8,8,2.7
Fruit Salad Including Citrus Fruits With Pudding,123,6.01,2.04,17.41,12.06,2.1,0,0.74
